,zip,num_results,restaurant_ids,necessary,checked_this_month
413,01550,0,,True,False
414,01560,0,,True,False
415,01561,0,,True,False
416,01562,0,,True,False
417,01564,0,,True,False
418,01566,0,,True,False
419,01568,0,,True,False
420,01569,0,,True,False
421,01570,0,,True,False
422,01571,0,,True,False
423,01581,0,,True,False
424,01583,0,,True,False
425,01585,0,,True,False
426,01586,0,,True,False
427,01588,0,,True,False
428,01590,0,,True,False
429,01601,0,,True,False
430,01602,0,,True,False
431,01603,0,,True,False
432,01604,0,,True,False
433,01605,0,,True,False
434,01606,0,,True,False
435,01607,0,,True,False
436,01608,0,,True,False
437,01609,0,,True,False
438,01610,0,,True,False
439,01611,0,,True,False
440,01612,0,,True,False
441,01613,0,,True,False
442,01614,0,,True,False
443,01615,0,,True,False
444,01653,0,,True,False
445,01655,0,,True,False
446,01701,0,,True,False
447,01702,0,,True,False
448,01703,0,,True,False
449,01704,0,,True,False
450,01705,0,,True,False
451,01718,0,,True,False
452,01719,0,,True,False
453,01720,0,,True,False
454,01721,0,,True,False
455,01730,0,,True,False
456,01731,0,,True,False
457,01740,0,,True,False
458,01741,0,,True,False
459,01742,0,,True,False
460,01745,0,,True,False
461,01746,0,,True,False
462,01747,0,,True,False
463,01748,0,,True,False
464,01749,0,,True,False
465,01752,0,,True,False
466,01754,0,,True,False
467,01756,0,,True,False
468,01757,0,,True,False
469,01760,0,,True,False
470,01770,0,,True,False
471,01772,0,,True,False
472,01773,0,,True,False
473,01775,0,,True,False
474,01776,0,,True,False
475,01778,0,,True,False
476,01784,0,,True,False
477,01801,0,,True,False
478,01803,0,,True,False
479,01805,0,,True,False
480,01810,0,,True,False
481,01812,0,,True,False
482,01813,0,,True,False
483,01815,0,,True,False
484,01821,0,,True,False
485,01822,0,,True,False
486,01824,0,,True,False
487,01826,0,,True,False
488,01827,0,,True,False
489,01830,0,,True,False
490,01831,0,,True,False
491,01832,0,,True,False
492,01833,0,,True,False
493,01834,0,,True,False
494,01835,0,,True,False
495,01840,0,,True,False
496,01841,0,,True,False
497,01842,0,,True,False
498,01843,0,,True,False
499,01844,0,,True,False
500,01845,0,,True,False
501,01850,0,,True,False
502,01851,0,,True,False
503,01852,0,,True,False
504,01853,0,,True,False
505,01854,0,,True,False
506,01860,0,,True,False
507,01862,0,,True,False
508,01863,0,,True,False
509,01864,0,,True,False
510,01865,0,,True,False
