,lat,lon,radius,region,num_results,checked_this_month
183,40.64327,-123.51328,14.7,Lower 48,0,False
184,40.52347,-123.4657,14.7,Lower 48,0,False
185,40.40366,-123.41828,14.7,Lower 48,0,False
186,40.28385,-123.37102,14.7,Lower 48,0,False
187,40.16402,-123.32392,14.7,Lower 48,0,False
188,40.04419,-123.27698,14.7,Lower 48,0,False
189,39.92435,-123.23019,14.7,Lower 48,0,False
190,39.80449,-123.18356,14.7,Lower 48,0,False
191,39.68462,-123.13709,14.7,Lower 48,0,False
192,39.56475,-123.09077,14.7,Lower 48,0,False
193,39.44486,-123.0446,14.7,Lower 48,0,False
194,39.32495,-122.99858,14.7,Lower 48,0,False
195,39.20504,-122.95272,14.7,Lower 48,0,False
196,39.08511,-122.90701,14.7,Lower 48,0,False
197,38.96516,-122.86145,14.7,Lower 48,0,False
198,38.8452,-122.81603,14.7,Lower 48,0,False
199,38.72523,-122.77077,14.7,Lower 48,0,False
200,38.60524,-122.72566,14.7,Lower 48,0,False
201,38.48524,-122.68069,14.7,Lower 48,0,False
202,38.36522,-122.63587,14.7,Lower 48,0,False
203,38.24518,-122.5912,14.7,Lower 48,0,False
204,38.12512,-122.54667,14.7,Lower 48,0,False
205,38.00505,-122.50229,14.7,Lower 48,0,False
206,37.88496,-122.45805,14.7,Lower 48,0,False
207,37.76485,-122.41396,14.7,Lower 48,0,False
208,37.64472,-122.37001,14.7,Lower 48,0,False
209,37.52457,-122.3262,14.7,Lower 48,0,False
210,37.4044,-122.28254,14.7,Lower 48,0,False
211,37.28421,-122.23901,14.7,Lower 48,0,False
212,37.164,-122.19562,14.7,Lower 48,0,False
213,37.04377,-122.15238,14.7,Lower 48,0,False
214,36.92352,-122.10927,14.7,Lower 48,0,False
215,36.56263,-121.98078,14.7,Lower 48,0,False
216,36.44229,-121.93822,14.7,Lower 48,0,False
217,36.32192,-121.89579,14.7,Lower 48,0,False
218,36.20153,-121.85351,14.7,Lower 48,0,False
219,43.24992,-124.43301,14.7,Lower 48,0,False
220,43.13012,-124.38203,14.7,Lower 48,0,False
221,43.01032,-124.33123,14.7,Lower 48,0,False
222,42.89052,-124.2806,14.7,Lower 48,0,False
223,42.77073,-124.23014,14.7,Lower 48,0,False
224,42.65094,-124.17987,14.7,Lower 48,0,False
225,42.53114,-124.12976,14.7,Lower 48,0,False
226,42.41135,-124.07983,14.7,Lower 48,0,False
227,42.29156,-124.03007,14.7,Lower 48,0,False
228,42.17177,-123.98048,14.7,Lower 48,0,False
229,42.05197,-123.93105,14.7,Lower 48,0,False
230,41.93218,-123.8818,14.7,Lower 48,0,False
231,41.81238,-123.83272,14.7,Lower 48,0,False
232,41.69258,-123.7838,14.7,Lower 48,0,False
233,41.57277,-123.73506,14.7,Lower 48,0,False
234,41.45297,-123.68647,14.7,Lower 48,0,False
235,41.33315,-123.63805,14.7,Lower 48,0,False
236,41.21334,-123.5898,14.7,Lower 48,0,False
237,41.09351,-123.54171,14.7,Lower 48,0,False
